Origen de la base;Código de partido (Según INDEC);Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad agrupada;Sexo;Clase de Víctima;Vehículo Víctima;Tipo de Lugar;Modo de Producción del Hecho;
Ministerio de Seguridad;420;01/01/2017;1;07:10;Diurno;15 - 24;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;420;01/01/2017;1;07:10;Diurno;35 - 44;Varón;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;08/01/2017;1;00:20;Nocturno;55 - 64;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;224;06/01/2017;1;22:30;Nocturno;Sin determinar;Mujer;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;11/01/2017;1;15:20;Diurno;25 - 34;Mujer;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;11/01/2017;1;15:20;Diurno;25 - 34;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;119;19/01/2017;1;21:15;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;763;23/01/2017;1; 04:45;Nocturno;65 - 74;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;399;16/01/2017;1;13:50;Diurno;45 - 54;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;351;19/01/2017;1;21:50;Nocturno;15 - 24;Mujer;Acompañante;Motocicleta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;20/01/2017;1;23:15;Diurno;55 - 64;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;063;20/01/2017;1;23:15;Diurno;55 - 64;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;455;23/01/2017;1;06:30;Nocturno;15 - 24;Varón;Conductor;Motocicleta;Ruta Nacional;Colisión vehículo / objeto;
Ministerio de Seguridad;336;24/01/2017;1;18:30;Diurno;0 - 4;Varón;Acompañante;Automóvil;Ruta Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;638;24/01/2017;1;05:50;Nocturno;25 - 34;Varón;Conductor;Camión;Autopista Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;547;29/01/2017;1;23:30;Nocturno;Sin determinar;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;112;28/01/2017;1;19:25;Nocturno;45 - 54;Varón;Conductor;Camioneta;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;763;31/01/2017;1;06:00;Nocturno;45 - 54;Mujer;Acompañante;Camioneta;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;134;30/01/2017;1;02:00;Nocturno;15 - 24;Varón;Peatón;Peatón;Ruta Nacional;Colisión vehículo / persona;
Ministerio de Seguridad;134;02/02/2017;2;23:50;Nocturno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;413;04/02/2017;2;04:45;Nocturno;5 - 14;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;270;26/01/2017;1;22:10;Nocturno;65 - 74;Varón;Conductor;Automóvil;Autopista Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;770;12/02/2017;2;21:10;Nocturno;55 - 64;Varón;Acompañante;Automóvil;Ruta Nacional;Colisión vehículo / vehículo;
Ministerio de Seguridad;497;11/02/2017;2;13:10;Diurno;0 - 4;Varón;Acompañante;Automóvil;Ruta Provincial;Vuelco / despiste;
Ministerio de Seguridad;630;11/02/2017;2;10:00;Diurno;55 - 64;Mujer;Conductor;Automóvil;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;812;17/02/2017;2;23:30;Nocturno;35 - 44;Varón;Conductor;Motocicleta;Ruta Provincial;Colisión vehículo / objeto;
Ministerio de Seguridad;091;18/02/2017;2;06:00;Nocturno;5 - 14;Varón;Acompañante;Automóvil;Autopista Provincial;Colisión vehículo / vehículo;
Ministerio de Seguridad;063;18/02/2017;2;09:30;Diurno;55 - 64;Mujer;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;063;18/02/2017;2;09:30;Diurno;55 - 64;Varón;Conductor;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;063;18/02/2017;2;09:30;Diurno;25 - 34;Varón;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
Ministerio de Seguridad;063;18/02/2017;2;09:30;Diurno;25 - 34;Varón;Acompañante;Automóvil;Ruta Nacional;Vuelco / despiste;
