Fuente;Código de Departamento;Mes;Hora del hecho;Diurno/Nocturno;Sexo;Edad;Edad agrupada;Clase de Víctima;Vehículo Víctima (excluir peatón);Tipo de usuario;Modo de Producción del Hecho;Fecha del hecho;Tipo de Lugar
Ministerio de Seguridad;210;Julio;06:30;Nocturno;Varón;20;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;784;Julio;21:56;Nocturno;Mujer;57;55 - 64;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;784;Julio;21:56;Nocturno;Mujer;37;35 - 44;Conductor;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;784;Julio;21:56;Nocturno;Mujer;37;35 - 44;Acompañante;Automóvil;Automóvil;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;427;Julio;07:10;Diurno;Varón;56;55 - 64;Acompañante;Camioneta;Camioneta;Colisión vehículo / objeto;2018-07-01 00:00:00.000;Ruta Provincial
Ministerio de Seguridad;270;Julio;00:00;Nocturno;Varón;50;45 - 54;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Ruta Nacional
Ministerio de Seguridad;441;Julio;06:40;Nocturno;Varón;19;15 - 24;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-01 00:00:00.000;Calle
Ministerio de Seguridad;658;Julio;11:30;Diurno;Mujer;24;15 - 24;Sin determinar;Automóvil;Automóvil;Sin determinar;2018-07-01 00:00:00.000;Calle
Ministerio de Seguridad;658;Julio;11:30;Diurno;Mujer;54;45 - 54;Sin determinar;Automóvil;Automóvil;Sin determinar;2018-07-01 00:00:00.000;Calle
Ministerio de Seguridad;658;Julio;11:30;Diurno;Varón;25;25 - 34;Sin determinar;Automóvil;Automóvil;Sin determinar;2018-07-01 00:00:00.000;Calle
Ministerio de Seguridad;658;Julio;06:10;Nocturno;Varón;20;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-01 00:00:00.000;Calle
Ministerio de Seguridad;260;Julio;02:00;Nocturno;Varón;22;15 - 24;Conductor;Automóvil;Automóvil;Colisión vehículo / objeto;2018-07-02 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;427;Julio;22:20;Nocturno;Varón;-1;Sin determinar;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-02 00:00:00.000;Calle
Ministerio de Seguridad;760;Julio;13:00;Diurno;Varón;32;25 - 34;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-03 00:00:00.000;Calle
Ministerio de Seguridad;091;Julio;07:12;Diurno;Varón;17;15 - 24;Peatón;No corresponde;Peatón;Colisión vehículo / vehículo;2018-07-03 00:00:00.000;Calle
Ministerio de Seguridad;511;Julio;20:00;Nocturno;Varón;43;35 - 44;Conductor;Automóvil;Automóvil;Vuelco / despiste;2018-07-03 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;511;Julio;20:00;Nocturno;Varón;18;15 - 24;Acompañante;Automóvil;Automóvil;Vuelco / despiste;2018-07-03 00:00:00.000;Autopista / Autovía
Ministerio de Seguridad;568;Julio;03:30;Nocturno;Varón;21;15 - 24;Conductor;Motocicleta;Motocicleta;Vuelco / despiste;2018-07-03 00:00:00.000;Calle
Ministerio de Seguridad;049;Julio;07:00;Nocturno;Mujer;54;45 - 54;Conductor;Motocicleta;Motocicleta;Colisión vehículo / vehículo;2018-07-04 00:00:00.000;Calle
