BASE ORIGEN;PARTIDO;FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DIA DE LA SEMANA AGRUPADO;Diurno/Nocturno;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO;SEXO DE LA VÍCTIMA;EDAD;EDAD AGRUPADA;TIPO DE VÍCTIMA;VEHÍCULO DE LA VÍCTIMA
Ministerio Público;392;10/6/2020;Junio;17:10;Miércoles;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;70;65 - 74  ;Conductor;Bicicleta
Ministerio de Seguridad;210;7/1/2020;Enero;22:15;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;23;15 - 24  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;805;5/1/2020;Enero;21:15;Domingo;Fin de semana;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;427;11/1/2020;Enero;01:55;Sábado;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Acompañante;Automóvil
Ministerio de Seguridad;805;5/1/2020;Enero;21:15;Domingo;Fin de semana;Nocturno;Ruta Provincial;Vuelco / despiste;Masculino;36;35 - 44  ;Conductor;Automóvil
Ministerio de Seguridad;343;16/2/2020;Febrero;06:30;Domingo;Fin de semana;Nocturno;Autopista / Autovía;Vuelco / despiste;Masculino;Sin determinar;Sin determinar;Pasajero;Colectivo
Ministerio Público;357;24/6/2020;Junio;18:10;Miércoles;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Femenino;59;55 - 64  ;Conductor;Bicicleta
Ministerio de Salud;525;9/2/2020;Febrero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Otro modo (sin colisión);Masculino;77;75 y más;Conductor;Bicicleta
Ministerio de Salud;778;15/10/2020;Octubre;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Otro modo (sin colisión);Femenino;64;55 - 64  ;Conductor;Bicicleta
Ministerio de Salud;270;17/11/2020;Noviembre;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;80;75 y más;Conductor;Bicicleta
Ministerio de Salud;056;4/12/2020;Diciembre;Sin determinar;Viernes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;76;75 y más;Conductor;Bicicleta
Ministerio de Salud;126;16/2/2020;Febrero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;73;65 - 74  ;Conductor;Bicicleta
Ministerio de Salud;035;16/6/2020;Junio;Sin determinar;Martes;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;55;55 - 64  ;Conductor;Bicicleta
Ministerio de Salud;515;17/9/2020;Septiembre;Sin determinar;Jueves;Lunes a Viernes;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Conductor;Bicicleta
Ministerio de Salud;412;1/8/2020;Agosto;Sin determinar;Sábado;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;81;75 y más;Conductor;Bicicleta
Ministerio de Salud;714;23/8/2020;Agosto;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;54;45 - 54  ;Conductor;Bicicleta
Ministerio Público;427;1/3/2020;Marzo;07:55;Domingo;Fin de semana;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio Público;182;19/2/2020;Febrero;00:30;Miércoles;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / objeto;Masculino;78;75 y más;Acompañante;Automóvil
Ministerio de Salud;412;23/2/2020;Febrero;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;24;15 - 24  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;515;8/3/2020;Marzo;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Femenino;50;45 - 54  ;Ocupante de vehículo (sin especificar);Automóvil
Ministerio de Salud;672;27/12/2020;Diciembre;Sin determinar;Domingo;Fin de semana;Sin especificar;Sin determinar;Colisión Vehículo / vehículo;Masculino;19;15 - 24  ;Ocupante de vehículo (sin especificar);Motocicleta
Ministerio de Seguridad;476;4/1/2020;Enero;20:20;Sábado;Fin de semana;Nocturno;Autopista / Autovía;Vuelco / despiste;Masculino;Sin determinar;Sin determinar;Conductor;Motocicleta
Ministerio de Seguridad;476;4/1/2020;Enero;20:00;Sábado;Fin de semana;Nocturno;Calle;Colisión Vehículo / persona;Femenino;17;15 - 24  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;648;9/1/2020;Enero;09:15;Jueves;Lunes a Viernes;Diurno;Autopista / Autovía;Vuelco / despiste;Masculino;46;45 - 54  ;Conductor;Camioneta
Ministerio Público;280;16/6/2020;Junio;08:00;Martes;Lunes a Viernes;Diurno;Calle;Colisión Vehículo / vehículo;Masculino;52;45 - 54  ;Conductor;Motocicleta
Ministerio de Seguridad;805;7/3/2020;Marzo;22:40;Sábado;Fin de semana;Nocturno;Autopista / Autovía;Colisión Vehículo / objeto;Femenino;32;25 - 34  ;Acompañante;Automóvil
Ministerio de Seguridad;539;7/3/2020;Marzo;22:40;Sábado;Fin de semana;Nocturno;Autopista / Autovía;Colisión Vehículo / objeto;Masculino;34;25 - 34  ;Conductor;Automóvil
Ministerio de Seguridad;778;10/4/2020;Abril;14:30;Viernes;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / persona;Masculino;69;65 - 74  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;882;12/1/2020;Enero;02:00;Domingo;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;19;15 - 24  ;Pasajero;Colectivo
Ministerio de Seguridad;882;12/1/2020;Enero;02:00;Domingo;Fin de semana;Nocturno;Ruta Nacional;Colisión Vehículo / persona;Femenino;41;35 - 44  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;274;24/2/2020;Febrero;16:46;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Masculino;37;35 - 44  ;Conductor;Camión
Ministerio de Seguridad;035;19/5/2020;Mayo;12:00;Martes;Lunes a Viernes;Nocturno;Calle;Colisión Vehículo / persona;Masculino;59;55 - 64  ;Peatón;No corresponde (peatón)
Ministerio de Seguridad;547;17/2/2020;Febrero;08:00;Lunes;Lunes a Viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo;Femenino;74;65 - 74  ;Acompañante;Camioneta
Ministerio de Seguridad;056;21/5/2020;Mayo;14:15;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo;Masculino;28;25 - 34  ;Conductor;Camión
Ministerio de Seguridad;77;1/3/2020;Marzo;01:55;Domingo;Fin de semana;Nocturno;Calle;Sin determinar;Masculino;Sin determinar;Sin determinar;Acompañante;Motocicleta
Ministerio de Seguridad;189;1/3/2020;Marzo;01:55;Domingo;Fin de semana;Nocturno;Calle;Colisión Vehículo / vehículo;Masculino;Sin determinar;Sin determinar;Conductor;Motocicleta
