FUENTE;PARTIDO (según codificación INDEC);FECHA DEL HECHO;MES;HORA;DÍA DE LA SEMANA;DÍA DE LA SEMANA AGRUPADO;DIURNO / NOCTURNO;TIPO DE LUGAR;MODO DE PRODUCCIÓN DEL HECHO
Ministerio de Seguridad;763;11/1/2021;Enero;01:30;Lunes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;763;23/1/2021;Enero;16:30;Sábado;Sábados y domingos;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;070;26/1/2021;Enero;19:00;Martes;Lunes a viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;763;30/10/2021;Octubre;19:30:00;Sábado;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;070;4/2/2021;Febrero;08:00;Jueves;Lunes a viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;763;7/3/2021;Marzo;23:00;Domingo;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;665;9/4/2021;Abril;13:00;Viernes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;763;14/4/2021;Abril;08:00;Miércoles;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;763;19/4/2021;Abril;19:00;Lunes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / persona
Ministerio de Seguridad;763;30/5/2021;Mayo;14:25;Domingo;Sábados y domingos;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;763;8/8/2021;Agosto;12:30:00;Domingo;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;770;8/8/2021;Agosto;16:30:00;Domingo;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;770;20/8/2021;Agosto;20:45:00;Viernes;Lunes a Viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;763;29/8/2021;Agosto;02:45:00;Domingo;Sábados y domingos;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;077;17/1/2021;Enero;06:35;Domingo;Sábados y domingos;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;077;26/4/2021;Abril;14:00;Lunes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;077;9/5/2021;Mayo;20:00;Domingo;Sábados y domingos;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio Público Fiscal;077;27/6/2021;Junio;12:00hs;Domingo;Sábados y domingos;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;623;25/6/2021;Junio;12:50:00;Viernes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / persona
Ministerio de Seguridad;714;8/7/2021;Julio;00:40:00;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;623;9/8/2021;Agosto;18:00:00;Lunes;Lunes a Viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;623;18/8/2021;Agosto;18:30:00;Miércoles;Lunes a Viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;623;7/10/2021;Octubre;21:50:00;Jueves;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;623;18/10/2021;Octubre;11:00:00;Lunes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio Público Fiscal;623;2/12/2021;Diciembre;20:50:00;Jueves;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;623;11/12/2021;Diciembre;01:50:00;Sábado;Sábados y domingos;Nocturno;Calle;Vuelco / despistes
Ministerio de Seguridad;462;16/1/2021;Enero;06:00;Sábado;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;469;21/1/2021;Enero;02:45;Jueves;Lunes a viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;413;19/2/2021;Febrero;17:30;Viernes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / persona
Ministerio de Seguridad;469;8/3/2021;Marzo;05:25;Lunes;Lunes a viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;413;29/3/2021;Marzo;06:30;Lunes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;294;28/3/2021;Marzo;05:40;Domingo;Sábados y domingos;Nocturno;Calle;Vuelco / despistes
Ministerio de Seguridad;413;28/4/2021;Abril;00:45;Miércoles;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;351;6/5/2021;Mayo;23:50;Jueves;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;469;30/5/2021;Mayo;21:35;Domingo;Sábados y domingos;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;462;12/6/2021;Junio;11:15;Sábado;Sábados y domingos;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;277;21/6/2021;Junio;20:30;Lunes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;294;26/8/2021;Agosto;21:20:00;Jueves;Lunes a Viernes;Nocturno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;413;22/9/2021;Septiembre;13:50:00;Miércoles;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;413;7/12/2021;Septiembre;19:50:00;Martes;Lunes a Viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;826;5/2/2021;Febrero;20:08;Viernes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;154;14/4/2021;Abril;21:30;Miércoles;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;392;1/6/2021;Junio;16:00;Martes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;826;19/6/2021;Junio;21:50;Sábado;Sábados y domingos;Nocturno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;826;11/9/2021;Septiembre;22:30:00;Sábado;Sábados y domingos;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;1/1/2021;Enero;21:20;Viernes;Lunes a viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;882;8/1/2021;Enero;13:35;Viernes;Lunes a viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;882;26/1/2021;Enero;22:00;Martes;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / persona
Ministerio de Seguridad;126;21/1/2021;Enero;20:30;Jueves;Lunes a viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;6/2/2021;Febrero;05:40;Sábado;Sábados y domingos;Nocturno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;126;24/2/2021;Febrero;22:10;Miércoles;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;882;8/3/2021;Marzo;06:20;Lunes;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;15/3/2021;Marzo;00:10;Lunes;Lunes a viernes;Nocturno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;126;17/3/2021;Marzo;16:30;Miércoles;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;882;17/3/2021;Marzo;00:50;Miércoles;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;29/3/2021;Marzo;07:42;Lunes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;2/4/2021;Abril;09:00;Viernes;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;882;1/4/2021;Abril;22:30;Jueves;Lunes a viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;882;6/5/2021;Mayo;15:45;Jueves;Lunes a viernes;Diurno;Calle;Colisión Vehículo  / objeto
Ministerio de Seguridad;126;28/5/2021;Mayo;15:20;Viernes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;126;4/6/2021;Junio;07:50;Viernes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;882;16/7/2021;Julio;10:25:00;Viernes;Lunes a Viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar;Sin determinar
Ministerio de Seguridad;882;20/8/2021;Agosto;15:50:00;Viernes;Lunes a Viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;882;24/8/2021;Agosto;23:40:00;Martes;Lunes a Viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;574;8/1/2021;Enero;08:32;Viernes;Lunes a viernes;Diurno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;532;9/1/2021;Enero;16:31;Sábado;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;210;25/1/2021;Enero;23:00;Lunes;Lunes a viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;210;18/2/2021;Febrero;23:40;Jueves;Lunes a viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;497;25/2/2021;Febrero;14:33;Jueves;Lunes a viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;021;5/3/2021;Marzo;11:22;Viernes;Lunes a viernes;Diurno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;497;11/3/2021;Marzo;21:54;Jueves;Lunes a viernes;Nocturno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;224;21/3/2021;Marzo;21:54;Domingo;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / persona
Ministerio de Seguridad;532;22/3/2021;Marzo;21:45;Lunes;Lunes a viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;525;24/3/2021;Marzo;16:54;Miércoles;Lunes a viernes;Diurno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;210;5/4/2021;Abril;11:38;Lunes;Lunes a viernes;Diurno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;532;6/4/2021;Abril;03:00;Martes;Lunes a viernes;Nocturno;Ruta Provincial;Sin determinar
Ministerio Público Fiscal;525;12/4/2021;Abril;17.30;Lunes;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo / persona
Ministerio de Seguridad;497;18/4/2021;Abril;00:20;Domingo;Sábados y domingos;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;329;17/4/2021;Abril;14:01;Sábado;Sábados y domingos;Diurno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;210;19/4/2021;Abril;09:20;Lunes;Lunes a viernes;Diurno;Ruta Nacional;Colisión Vehículo / vehículo
Ministerio de Seguridad;532;2/5/2021;Mayo;05:00;Domingo;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;497;10/5/2021;Mayo;18:00;Lunes;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;021;5/6/2021;Junio;18:00;Sábado;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;532;10/6/2021;Junio;22:33;Jueves;Lunes a viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;210;10/6/2021;Junio;19:32;Jueves;Lunes a viernes;Nocturno;Ruta Nacional;Vuelco / despistes
Ministerio de Seguridad;532;15/6/2021;Junio;07:13;Martes;Lunes a viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;532;20/6/2021;Junio;10:20;Domingo;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;210;29/6/2021;Junio;07:00;Martes;Lunes a viernes;Nocturno;Ruta Nacional;Sin determinar
Ministerio de Seguridad;530;9/7/2021;Julio;21:20:00;Viernes;Lunes a Viernes;Nocturno;Calle;Sin determinar
Ministerio de Seguridad;210;31/7/2021;Julio;15:51:00;Sábado;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;525;4/8/2021;Agosto;23:00:00;Miércoles;Lunes a Viernes;Nocturno;Ruta Provincial;Sin determinar
Ministerio de Seguridad;224;5/8/2021;Agosto;13:21:00;Jueves;Lunes a Viernes;Diurno;Calle;Sin determinar
Ministerio de Seguridad;112;7/8/2021;Agosto;15:00:00;Sábado;Sábados y domingos;Diurno;Calle;Sin determinar
Ministerio de Seguridad;112;9/9/2021;Septiembre;05:23:00;Jueves;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / persona
Ministerio Público Fiscal;525;15/9/2021;Septiembre;02.05;Miércoles;Lunes a viernes;Nocturno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;525;17/9/2021;Septiembre;13:52:00;Viernes;Lunes a viernes;Diurno;Ruta Provincial;Colisión Vehículo / vehículo
Ministerio de Seguridad;532;25/9/2021;Septiembre;01:46:00;Sábado;Sábados y domingos;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio de Seguridad;112;27/9/2021;Septiembre;19:50:00;Lunes;Lunes a viernes;Nocturno;Calle;Colisión Vehículo / vehículo
Ministerio Público Fiscal;224;12/12/2021;Diciembre;06.27;Domingo;Sábados y domingos;Nocturno;Calle;Vuelco / despistes
Ministerio de Seguridad;525;22/12/2021;Febrero;02:58:00;Miércoles;Lunes a Viernes;Nocturno;Calle;Sin determinar
