Origen de la base;Código de partido;Fecha del hecho;Mes;Hora del hecho;Diurno/Nocturno;Edad;Edad agrupada;Sexo
Ministerio de Seguridad;770;6/1/2018;Enero;14:45:00;Diurno;83;75 y más;Mujer
Ministerio de Seguridad;763;10/1/2018;Enero;17:30:00;Diurno;22;15 a 24;Mujer
Ministerio de Seguridad;070;10/1/2018;Enero;01:00:00;Nocturno;24;15 a 24;Mujer
Ministerio de Seguridad;770;24/1/2018;Enero;23:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;665;2/2/2018;Febrero;17:20:00;Diurno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;763;8/2/2018;Febrero;23:00:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;770;11/2/2018;Febrero;20:00:00;Nocturno;27;25 a 34;Varón
Ministerio de Seguridad;070;15/2/2018;Febrero;20:00:00;Nocturno;Sin determinar;Sin determinar;Mujer
Ministerio de Seguridad;665;23/2/2018;Febrero;06:15:00;Nocturno;19;15 a 24;Varón
Ministerio de Seguridad;763;23/3/2018;Marzo;16:30:00;Diurno;24;15 a 24;Varón
Ministerio de Seguridad;763;28/3/2018;Marzo;07:00:00;Nocturno;20;15 a 24;Varón
Ministerio de Seguridad;763;6/4/2018;Abril;19:25:00;Nocturno;23;15 a 24;Mujer
Ministerio de Seguridad;763;9/4/2018;Abril;15:35:00;Diurno;35;35 a 44;Varón
Ministerio de Seguridad;763;10/4/2018;Abril;17:00:00;Diurno;19;15 a 24;Varón
Ministerio de Seguridad;763;12/4/2018;Abril;13:00:00;Diurno;35;35 a 44;Varón
Ministerio de Seguridad;665;18/4/2018;Abril;19:00:00;Diurno;32;25 a 34;Varón
Ministerio de Seguridad;763;21/4/2018;Abril;15:50:00;Diurno;28;25 a 34;Varón
Ministerio de Seguridad;763;16/7/2018;Julio;06:30:00;Nocturno;50;45 a 54;Mujer
Ministerio de Seguridad;070;17/7/2018;Julio;19:00:00;Diurno;45;45 a 54;Varón
Ministerio de Seguridad;763;19/7/2018;Julio;22:30:00;Nocturno;37;35 a 44;Varón
Ministerio de Seguridad;665;31/7/2018;Julio;16:00:00;Diurno;52;45 a 54;Varón
Ministerio de Seguridad;070;2/8/2018;Agosto;07:30:00;Diurno;18;15 a 24;Mujer
Ministerio de Seguridad;770;5/8/2018;Agosto;23:50:00;Nocturno;20;15 a 24;Mujer
Ministerio de Seguridad;770;16/8/2018;Agosto;20:00:00;Nocturno;36;35 a 44;Varón
