Fecha;Mes;Día de la Semana;Horario;Diurno/nocturno;Edad agrupada;Edad;Sexo;Tipo de víctima;Código de partido
1/1/2020;Enero;Miércoles;21:30:00;Nocturno;65 - 74;68;Femenino;Pasajero;455
1/1/2020;Enero;Miércoles;21:30:00;Nocturno;25 - 34;31;Femenino;Pasajero;455
1/1/2020;Enero;Miércoles;18:50:00;Diurno;45 - 54;54;Femenino;Conductor;763
1/1/2020;Enero;Miércoles;18:50:00;Diurno;25 - 34;28;Femenino;Acompañante;763
2/1/2020;Enero;Jueves;09:00:00;Diurno;25 - 34;28;Masculino;Conductor;427
2/1/2020;Enero;Jueves;09:00:00;Diurno;25 - 34;27;Femenino;Acompañante;427
2/1/2020;Enero;Jueves;15:30:00;Diurno;35 - 44;40;Masculino;Conductor;410
2/1/2020;Enero;Jueves;15:30:00;Diurno;15 - 24;21;Femenino;Acompañante;410
2/1/2020;Enero;Jueves;12:50:00;Diurno;55 - 64;63;Femenino;Conductor;336
2/1/2020;Enero;Jueves;12:50:00;Diurno;65 - 74;65;Femenino;Conductor;336
2/1/2020;Enero;Jueves;09:45:00;Diurno;15 - 24;21;Femenino;Conductor;168
3/1/2020;Enero;Viernes;09:00:00;Diurno;55 - 64;58;Masculino;Conductor;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;55 - 64;55;Femenino;Acompañante;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;15 - 24;20;Femenino;Acompañante;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;15 - 24;18;Femenino;Acompañante;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;25 - 34;33;Masculino;Conductor;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;15 - 24;21;Masculino;Acompañante;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;25 - 34;30;Masculino;Acompañante;728
3/1/2020;Enero;Viernes;09:00:00;Diurno;15 - 24;18;Masculino;Acompañante;728
2/1/2020;Enero;Jueves;01:30:00;Nocturno;25 - 34;31;Masculino;Acompañante;119
4/1/2020;Enero;Sábado;02:40:00;Nocturno;35 - 44;41;Masculino;Conductor;420
4/1/2020;Enero;Sábado;02:40:00;Nocturno;35 - 44;38;Femenino;Acompañante;420
4/1/2020;Enero;Sábado;02:40:00;Nocturno;15 - 24;18;Masculino;Acompañante;420
4/1/2020;Enero;Sábado;02:40:00;Nocturno;0 - 4;4;Femenino;Acompañante;420
4/1/2020;Enero;Sábado;02:40:00;Nocturno;25 - 34;30;Masculino;Conductor;420
4/1/2020;Enero;Sábado;02:40:00;Nocturno;15 - 24;23;Femenino;Acompañante;420
4/1/2020;Enero;Sábado;01:30:00;Nocturno;25 - 34;28;Masculino;Conductor;560
4/1/2020;Enero;Sábado;01:30:00;Nocturno;25 - 34;32;Femenino;Acompañante;560
4/1/2020;Enero;Sábado;14:40:00;Diurno;35 - 44;39;Masculino;Conductor;70
5/1/2020;Enero;Domingo;23:55:00;Nocturno;35 - 44;42;Masculino;Conductor;568
5/1/2020;Enero;Domingo;23:55:00;Nocturno;5 - 14;5;Masculino;Acompañante;568
5/1/2020;Enero;Domingo;23:55:00;Nocturno;5 - 14;9;Femenino;Acompañante;568
3/1/2020;Enero;Viernes;04:30:00;Nocturno;15 - 24;17;Femenino;Conductor;441
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;35 - 44;38;Masculino;Conductor;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;15 - 24;24;Femenino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;45 - 54;53;Masculino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;25 - 34;34;Femenino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;25 - 34;30;Masculino;Conductor;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;25 - 34;31;Femenino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;35 - 44;39;Masculino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;5 - 14;9;Masculino;Acompañante;134
1/1/2020;Enero;Miércoles;05:00:00;Nocturno;0 - 4;4;Masculino;Acompañante;134
6/1/2020;Enero;Lunes;14:30:00;Diurno;15 - 24;19;Masculino;Conductor;270
6/1/2020;Enero;Lunes;14:30:00;Diurno;15 - 24;23;Masculino;Conductor;270
4/1/2020;Enero;Sábado;11:00:00;Diurno;25 - 34;28;Femenino;Acompañante;655
4/1/2020;Enero;Sábado;11:00:00;Diurno;5 - 14;7;Femenino;Acompañante;655
3/1/2020;Enero;Viernes;14:40:00;Diurno;65 - 74;71;Masculino;Conductor;861
5/1/2020;Enero;Domingo;04:45:00;Nocturno;15 - 24;20;Femenino;Acompañante;805
5/1/2020;Enero;Domingo;04:45:00;Nocturno;25 - 34;28;Masculino;Acompañante;805
5/1/2020;Enero;Domingo;04:45:00;Nocturno;55 - 64;58;Masculino;Conductor;805
5/1/2020;Enero;Domingo;19:00:00;Nocturno;15 - 24;20;Femenino;Acompañante;515
4/1/2020;Enero;Sábado;21:40:00;Nocturno;5 - 14;9;Femenino;Acompañante;476
4/1/2020;Enero;Sábado;21:40:00;Nocturno;35 - 44;37;Femenino;Acompañante;476
4/1/2020;Enero;Sábado;21:40:00;Nocturno;5 - 14;12;Femenino;Acompañante;476
6/1/2020;Enero;Lunes;16:30:00;Diurno;45 - 54;49;Masculino;Conductor;238
6/1/2020;Enero;Lunes;16:30:00;Diurno;75 y más;87;Femenino;Acompañante;238
7/1/2020;Enero;Martes;01:20:00;Nocturno;75 y más;77;Masculino;Conductor;616
7/1/2020;Enero;Martes;01:20:00;Nocturno;65 - 74;68;Masculino;Conductor;616
7/1/2020;Enero;Martes;01:20:00;Nocturno;65 - 74;70;Femenino;Acompañante;616
7/1/2020;Enero;Martes;19:20:00;Nocturno;35 - 44;43;Masculino;Conductor;410
7/1/2020;Enero;Martes;19:20:00;Nocturno;45 - 54;54;Masculino;Conductor;410
6/1/2020;Enero;Lunes;07:43:00;Diurno;55 - 64;64;Femenino;Acompañante;357
5/1/2020;Enero;Domingo;20:20:00;Nocturno;25 - 34;28;Masculino;Conductor;466
5/1/2020;Enero;Domingo;20:20:00;Nocturno;25 - 34;26;Femenino;Acompañante;466
5/1/2020;Enero;Domingo;19:40:00;Nocturno;35 - 44;42;Femenino;Pasajero;455
5/1/2020;Enero;Domingo;19:40:00;Nocturno;5 - 14;6;Femenino;Pasajero;455
5/1/2020;Enero;Domingo;19:40:00;Nocturno;45 - 54;53;Femenino;Acompañante;455
5/1/2020;Enero;Domingo;19:40:00;Nocturno;55 - 64;58;Masculino;Conductor;455
5/1/2020;Enero;Domingo;19:40:00;Nocturno;35 - 44;38;Masculino;Acompañante;455
5/1/2020;Enero;Domingo;19:40:00;Nocturno;25 - 34;33;Masculino;Conductor;455
9/1/2020;Enero;Jueves;07:57:00;Diurno;Sin determinar;Sin determinar;Masculino;Conductor;756
10/1/2020;Enero;Viernes;20:00:00;Nocturno;55 - 64;55;Masculino;Conductor;515
10/1/2020;Enero;Viernes;00:05:00;Nocturno;25 - 34;25;Masculino;Conductor;756
10/1/2020;Enero;Viernes;00:05:00;Nocturno;35 - 44;35;Femenino;Conductor;756
10/1/2020;Enero;Viernes;10:40:00;Diurno;25 - 34;25;Masculino;Conductor;819
10/1/2020;Enero;Viernes;10:40:00;Diurno;65 - 74;65;Femenino;Conductor;819
10/1/2020;Enero;Viernes;10:40:00;Diurno;25 - 34;31;Femenino;Acompañante;819
8/1/2020;Enero;Miércoles;18:30:00;Diurno;35 - 44;36;Femenino;Conductor;568
9/1/2020;Enero;Jueves;00:30:00;Nocturno;25 - 34;29;Masculino;Conductor;805
11/1/2020;Enero;Sábado;07:20:00;Diurno;25 - 34;25;Masculino;Conductor;651
8/1/2020;Enero;Miércoles;19:25:00;Nocturno;15 - 24;17;Masculino;Conductor;217
9/1/2020;Enero;Jueves;01:45:00;Nocturno;25 - 34;26;Masculino;Conductor;217
11/1/2020;Enero;Sábado;11:00:00;Diurno;25 - 34;25;Masculino;Conductor;532
12/1/2020;Enero;Domingo;12:40:00;Diurno;55 - 64;56;Femenino;Acompañante;182
12/1/2020;Enero;Domingo;12:40:00;Diurno;55 - 64;59;Masculino;Conductor;182
5/1/2020;Enero;Domingo;21:45:00;Nocturno;5 - 14;12;Masculino;Acompañante;441
12/1/2020;Enero;Domingo;12:30:00;Diurno;35 - 44;41;Masculino;Conductor;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;25 - 34;31;Femenino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;5 - 14;8;Masculino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;0 - 4;3;Femenino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;55 - 64;59;Masculino;Conductor;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;25 - 34;27;Masculino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;0 - 4;2;Femenino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;15 - 24;21;Femenino;Acompañante;483
12/1/2020;Enero;Domingo;12:30:00;Diurno;0 - 4;3;Masculino;Acompañante;483
10/1/2020;Enero;Viernes;17:00:00;Diurno;65 - 74;71;Masculino;Conductor;420
