Región,País,Concesionario,Ciudad
Europa,Italia,Rossocorsa,Milán
Europa,Italia,Ineco Auto,Roma
Europa,Italia,Forza,Turín
Europa,España,C. de Salamanca,Madrid
Europa,España,Cars Gallery,Barcelona
Europa,Francia,Charles Pozzi,París
Europa,Francia,Modena Motors,Toulouse
Europa,Alemania,Eberlein,Kassel
Europa,Alemania,Ulrich Frankfurt,Frankfurt
Europa,Alemania,Autohaus Ulrich München,Múnich
Europa,Reino Unido,HR Owen,Londres
Europa,Reino Unido,Graypaul,Nottingham
Europa,Suiza,Niki Hasler AG,Basilea
Europa,Países Bajos,Kroymans Ferrari,Hilversum
Europa,Italia,Sa.Mo.Car,Roma
América del Norte,Estados Unidos,Ferrari Beverly Hills,Los Ángeles
América del Norte,Estados Unidos,Ferrari of Miami,Miami
América del Norte,Estados Unidos,Ferrari of Houston,Houston
América del Norte,Estados Unidos,Ferrari of Fort Lauderdale,Fort Lauderdale
América del Norte,Estados Unidos,Ferrari of New York,Nueva York
América del Norte,Estados Unidos,Ferrari of San Francisco,San Francisco
América del Norte,Estados Unidos,Ferrari of Washington,Washington DC
América del Norte,Estados Unidos,Ferrari of Palm Beach,Palm Beach
América del Norte,Canadá,Ferrari Québec,Montreal
América del Norte,Canadá,Ferrari of Vancouver,Vancouver
América del Norte,Canadá,Ferrari of Toronto,Toronto
Sudamérica,Argentina,Centro Milano,Pilar (Buenos Aires)
Sudamérica,Brasil,Via Italia / Ferrari São Paulo,São Paulo
Sudamérica,Chile,Ferrari Santiago,Santiago
Sudamérica,Colombia,Ferrari Bogotá,Bogotá
Asia y Oceanía,Japón,Cornes Shiba,Tokio
Asia y Oceanía,Japón,Cornes Osaka,Osaka
Asia y Oceanía,China,Ferrari Beijing,Beijing
Asia y Oceanía,Australia,Ferrari Sydney,Sídney
Medio Oriente,Emiratos Árabes Unidos,Al Tayer Motors (Dubai),Dubái
Medio Oriente,Arabia Saudita,Fast Auto Technic (Riyadh),Riad
Medio Oriente,Qatar,Alfardan Sports Motors (Doha),Doha
